"mat_code","mat_name","genres","mat_type","anio_prod"
"142716","MUPPET TREASURE ISLAND","AVENTURAS - COMEDIA","LARGOMETRAJE","1996"
"143203","EIGHT BELOW","AVENTURAS - FAMILIAR","LARGOMETRAJE","2006"
"143204","GLORY ROAD [DLAF]","DEPORTE - DRAMA","LARGOMETRAJE","2006"
"143413","BRING IT ON FIGHT TO THE FINISH","COMEDIA","LARGOMETRAJE","2009"
"143420","BURN AFTER READING","COMEDIA - DRAMA - POLICIAL","LARGOMETRAJE","2008"
"143422","CORALINE","ANIMACIÓN - AVENTURAS - FAMILIAR","LARGOMETRAJE","2009"
"143427","DUPLICITY","ROMANCE - SUSPENSO","LARGOMETRAJE","2009"
"143431","FLASH OF GENIUS","DRAMA","LARGOMETRAJE","2008"
"143433","FUNNY PEOPLE","COMEDIA - DRAMA","LARGOMETRAJE","2009"
"143434","HAMLET 2","COMEDIA - MÚSICA","LARGOMETRAJE","2008"
"143435","LAND OF THE LOST","ACCIÓN - AVENTURAS - COMEDIA","LARGOMETRAJE","2009"
"143437","MAMMA MIA!","COMEDIA - MUSICAL - ROMANCE","LARGOMETRAJE","2008"
"143438","MIDNIGHT MEAT TRAIN","TERROR","LARGOMETRAJE","2008"
"143441","PIRATE RADIO","COMEDIA - DRAMA - MÚSICA","LARGOMETRAJE","2009"
"143443","ROLE MODELS","COMEDIA - ROMANCE","LARGOMETRAJE","2008"
"143444","RUDO Y CURSI","COMEDIA - DEPORTE - DRAMA","LARGOMETRAJE","2008"
"143452","WILD CHILD","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2009"
"143511","HAROLD AND KUMAR ESCAPE FROM GUANTANAMO BAY","AVENTURAS - COMEDIA","LARGOMETRAJE","2008"
"143512","MR. WOODCOCK","COMEDIA - DEPORTE","LARGOMETRAJE","2007"
